"Tipologia";"Denominazione";"longitudine";"Indirizzo";"gid";"Latitudine";"Comune";
"Pubblici";"Villa Ada";"12.5061720000";"Viale del Casale della Tribuna";"880";"41.9348130000";"Roma";
"Pubblici";"Villa Ada";"12.5061800000";"Viale del Casale della Tribuna";"881";"41.9347230000";"Roma";
"Pubblici";"Villa Borghese - Piazza Bucarest";"12.4804100000";"Piazza Bucarest";"882";"41.9106360000";"Roma";
"Pubblici";"Villa Borghese - Piazza Bucarest";"12.4805060000";"Piazza Bucarest";"883";"41.9106360000";"Roma";
"Pubblici";"Villa Borghese - Piazza Bucarest";"12.4804410000";"Piazza Bucarest";"884";"41.9105330000";"Roma";
"Pubblici";"Villa Borghese - Piazza di Siena";"12.4878100000";"Piazza di Siena";"885";"41.9142540000";"Roma";
"Pubblici";"Villa Borghese - Piazza di Siena";"12.4875300000";"Piazza di Siena";"886";"41.9143410000";"Roma";
"Pubblici";"Villa Borghese - Piazzale dei Daini";"12.4923080000";"Piazzale dei Daini";"887";"41.9160150000";"Roma";
"Pubblici";"Villa Borghese - Piazzale dei Daini";"12.4925230000";"Piazzale dei Daini";"888";"41.9158920000";"Roma";
"Pubblici";"Villa Borghese - Via dell'Uccelliera";"12.4904430000";"Via dell'Uccelliera, 35";"889";"41.9151610000";"Roma";
"Pubblici";"Villa Borghese - Via dell'Uccelliera";"12.4901430000";"Via dell'Uccelliera, 35";"890";"41.9153610000";"Roma";
"Pubblici";"Villa Borghese - Viale Fiorello La Guardia";"12.4832370000";"Viale Fiorello La Guardia";"891";"41.9132860000";"Roma";
"Pubblici";"Villa Borghese - Viale Fiorello La Guardia";"12.4833290000";"Viale Fiorello La Guardia";"892";"41.9134840000";"Roma";
"Pubblici";"Villa Borghese - Viale Pietro Canonica";"12.4865690000";"Viale Pietro Canonica";"893";"41.9151490000";"Roma";
"Pubblici";"Villa Borghese - Viale Pietro Canonica";"12.4862920000";"Viale Pietro Canonica";"894";"41.9151720000";"Roma";
"Pubblici";"Villa Borghese - Viale Pietro Canonica";"12.4862140000";"Viale Pietro Canonica";"895";"41.9149920000";"Roma";
"Pubblici";"Villa Chigi";"12.5154628000";"Via Niccolà² Piccinni, 60";"896";"41.9312755000";"Roma";
"Pubblici";"Villa Lais";"12.5317250000";"Piazza Montecastrilli, snc";"897";"41.8758440000";"Roma";
"Pubblici";"Villa Lais";"12.5317250000";"Piazza Montecastrilli, snc";"898";"41.8758440000";"Roma";
"Pubblici";"Villa Lazzaroni - Centro Anziani";"12.5252170000";"Via Appia Nuova, 522";"899";"41.8722330000";"Roma";
"Pubblici";"Villa Lazzaroni - Sede Municipio IX";"12.5236440000";"Via Tommaso Fortifiocca, 71";"900";"41.8713440000";"Roma";
"Pubblici";"Villa Lazzaroni - Sede Municipio IX";"12.5236440000";"Via Tommaso Fortifiocca, 71";"901";"41.8713440000";"Roma";
"Pubblici";"Villa Leopardi - Centro anziani Fili D'argento";"12.5217129000";"via Makallà¨, 9";"902";"41.9274051000";"Roma";
"Pubblici";"Villa Paganini";"12.5088120000";"Viale Marco Biagi";"903";"41.9168610000";"Roma";
"Pubblici";"Villa Paganini";"12.5088380000";"Viale Marco Biagi";"904";"41.9168710000";"Roma";
"Pubblici";"Villa Pamphili";"12.4381810000";"Via Aurelia Antica";"905";"41.8890680000";"Roma";
"Pubblici";"Villa Pamphili";"12.4455650000";"Via Aurelia Antica";"906";"41.8890160000";"Roma";
"Pubblici";"Villa Pamphili";"12.4456300000";"Via Aurelia Antica";"907";"41.8889820000";"Roma";
"Pubblici";"Villa Pamphili";"12.4412630000";"Via Aurelia Antica";"908";"41.8816240000";"Roma";
"Pubblici";"Villa Pamphili";"12.4413250000";"Via Aurelia Antica";"909";"41.8815900000";"Roma";
"Pubblici";"Villa Pamphili";"12.4412740000";"Via Aurelia Antica";"910";"41.8815520000";"Roma";
"Pubblici";"Villa Torlonia";"12.5115480000";"Via Nomentana, 70";"911";"41.9155070000";"Roma";
"Pubblici";"Villa Torlonia";"12.5108050000";"via Lazzaro Spallanzani, 1";"912";"41.9133020000";"Roma";
"Pubblici";"Villa Torlonia";"12.5108210000";"via Lazzaro Spallanzani, 1";"913";"41.9132800000";"Roma";
"Pubblici";"Villa Torlonia - Centro Anziani Villa Torlonia";"12.5098307000";"Via Spallanzani, 2";"914";"41.9131848000";"Roma";
"Pubblici";"Villa Torlonia - Propileo";"12.5123992000";"Via Nomentana, 78/80";"915";"41.9167344000";"Roma";
"Privati federati";"Vineria Fabi";"12.6545300000";"Piazza Giuseppe Garibaldi 12";"916";"41.7702100000";"Marino";
"Privati federati";"Wellness Club";"12.5545000000";"Viale Rousseau 124";"917";"41.9380000000";"Roma";
"Privati federati";"WiCoffee BAR";"12.5372000000";"Via Cave di Pietralata, 25";"918";"41.9091000000";"Roma";
"Privati federati";"WOK  Parioli";"12.4847220000";"Via G. Antonelli, 39 A";"919";"41.9239340000";"Roma";
"Privati federati";"Wok Forum Termini";"12.5000920000";"Piazza Dei Cinquecento";"920";"41.9017830000";"Roma";
"Privati federati";"Wok Porte di Roma";"12.5381460000";"Via Alberto Lionello, 201";"921";"41.9760700000";"Roma";
"Privati federati";"You can Dance";"12.5195000000";"via Gadames 3A";"922";"41.9312000000";"Roma";
"Pubblici";"You Can Dance";"12.5195000000";"via Gadames 3A";"923";"41.9311000000";"Roma";
"Privati federati";"Zoomarine";"12.4529580000";"Via Casablanca";"924";"41.6316120000";"Pomezia";
"Privati federati";"Zoomarine";"12.4529580000";"Via Casablanca";"925";"41.6316120000";"Pomezia";
"Privati federati";"Zoomarine";"12.4529580000";"Via Casablanca";"926";"41.6316120000";"Pomezia";
