"Tipologia";"Denominazione";"longitudine";"Indirizzo";"gid";"Latitudine";"Comune";
"Pubblici";"Biblioteca Comunale";"12.9127500000";"Piazza Padre Giovanni Genocchi";"115";"41.7411860000";"Artena";
"Pubblici";"Biblioteca Comunale";"12.8680860000";"Corso Cavour 17";"116";"41.9751060000";"Castel Madama";
"Pubblici";"Biblioteca Comunale";"12.7383770000";"Via Annibaldeschi Snc";"117";"41.8093690000";"Monte Compatri";
"Pubblici";"Biblioteca Comunale";"13.0225610000";"Via Della Pretura 1";"118";"41.6924810000";"Segni";
"Pubblici";"Biblioteca Comunale";"12.6307770000";"Via Villa Adele 2";"119";"41.4505720000";"Anzio";
"Pubblici";"Biblioteca Comunale";"12.6268940000";"Viale Antium 7";"120";"41.4621720000";"Anzio";
"Pubblici";"Biblioteca comunale";"12.0736000000";"via caltagirone";"121";"41.9567000000";"Ladispoli";
"Pubblici";"Biblioteca comunale";"12.9599000000";"Via Piagge";"122";"41.9065000000";"Pisoniano";
"Pubblici";"Biblioteca comunale";"13.0112000000";"Via Carpinetana sud 144";"123";"41.7232000000";"Colleferro";
"Pubblici";"Biblioteca comunale";"12.7078000000";"Viale Enrico Ferri 67";"124";"41.7592000000";"Rocca di Papa";
"Pubblici";"Biblioteca Comunale";"12.7794290000";"Piazza Cairoli 54";"125";"41.6889100000";"Velletri";
"Pubblici";"Biblioteca Comunale";"12.6374830000";"Via Crescenzio 11";"126";"42.0337670000";"Mentana";
"Pubblici";"Biblioteca Comunale";"12.9735830000";"Piazza San Nicola 1";"127";"41.8345990000";"Genazzano";
"Pubblici";"Biblioteca Comunale";"12.7735120000";"Piazza Sante Aureli";"128";"42.1166250000";"Moricone";
"Pubblici";"Biblioteca comunale";"12.8195000000";"piazza della rocca, 30";"129";"41.8715000000";"Gallicano nel Lazio";
"Pubblici";"Biblioteca Comunale";"12.6147000000";"Piazza Don Minzoni";"130";"42.0511000000";"Monterotondo";
"Pubblici";"Biblioteca Comunale Casa dei Bimbi";"12.5924780000";"Via Libero Leonardi, 153";"131";"41.8521310000";"Roma";
"Pubblici";"Biblioteca Comunale di Santa Marinella";"11.8655000000";"Via Aurelia 310";"132";"42.0354000000";"Santa Marinella";
"Pubblici";"Biblioteca Comunale Rugantino";"12.5786516407";"Via Rugantino, 113";"133";"41.8653541098";"Roma";
"Pubblici";"Biblioteca Cornelia";"12.3963854000";"Via Cornelia, 45";"134";"41.9083989000";"Roma";
"Pubblici";"Biblioteca di Archeologia e Storia dell'arte";"12.4821047000";"piazza venezia 3";"135";"41.8963711000";"Roma";
"Pubblici";"Biblioteca di Archeologia e Storia dell'arte - Sala Barbo";"12.4821047000";"piazza venezia 3";"136";"41.8963711000";"Roma";
"Pubblici";"Biblioteca Vallicelliana";"12.4694000000";"piazza della chiesa nuova 18";"137";"41.8982000000";"Roma";
"Pubblici";"Bioparco";"12.4869920000";"Viale del Giardino Zoologico";"138";"41.9167890000";"Roma";
"Pubblici";"Bocca della verità";"12.4826900000";"Via dei Cerchi";"139";"41.8880020000";"Roma";
"Pubblici";"Bocca della verità";"12.4827220000";"Via dei Cerchi";"140";"41.8879460000";"Roma";
"Pubblici";"Bocca della verità";"12.4826150000";"Via dei Cerchi";"141";"41.8878380000";"Roma";
"Pubblici";"Bocca della verità";"12.4825340000";"Via dei Cerchi";"142";"41.8878300000";"Roma";
"Pubblici";"Borgo Santa Maria";"12.6807990000";"Piazza Palmiro Togliatti";"143";"42.1537990000";"Montelibretti";
"Pubblici";"Bottega del caffè";"12.4909829000";"Piazza della Madonna dei Monti, 5";"144";"41.8949698000";"Roma";
"Privati federati";"Bravo Centro Servizi";"12.3932000000";"Via Gustavo Cacini 15";"145";"41.7869000000";"Roma";
"Privati federati";"British Council";"12.4825760000";"Via Di San Sebastianello, 16";"146";"41.9068370000";"Roma";
"Privati federati";"British Council";"12.4825760000";"Via Di San Sebastianello, 16";"147";"41.9068370000";"Roma";
"Pubblici";"C.S.A Mario Roma";"12.4402000000";"via calamandrei 95";"148";"41.8444000000";"Roma";
"Privati federati";"Caffè 2000";"12.4937428000";"Via San Michele 23";"149";"42.1447930000";"Morlupo";
"Privati federati";"Caffè quattro tempi";"12.5108640000";"Via Tiburtina Antica, 8";"150";"41.8974000000";"Roma";
"Privati federati";"Caffetteria Bruni";"12.4492770000";"Cinconvallazione Trionfale 4";"151";"41.9100450000";"Roma";
"Privati federati";"Cambridge Cafè";"12.4998000000";"Via Regina Margherita 69";"152";"41.9185000000";"Roma";
"Pubblici";"Campanile";"12.6724000000";"Corso Garibaldi 1";"153";"41.7212000000";"Ariccia";
"Privati federati";"Camping Int. Castelfusano";"12.4942000000";"Via Litoranea 132 Km";"154";"41.8905000000";"Roma";
"Pubblici";"Campo dei Fiori - Bar Vineria Reggio";"12.4717408000";"Piazza Campo dei Fiori, 15";"155";"41.8956510000";"Roma";
"Privati federati";"Caos cafè";"12.4512166000";"Via Andrea Doria 46/a";"156";"41.9097067000";"Roma";
"Pubblici";"Carabinieri";"12.7521930000";"Via dei Monti";"157";"41.8345170000";"Colonna";
"Pubblici";"Casa Circondariale Rebibbia";"12.5740671000";"Via Raffaele Majetti, 70";"158";"41.9305677000";"Roma";
"Pubblici";"Casa Circondariale Rebibbia";"12.5740671000";"Via Raffaele Majetti, 70";"159";"41.9305677000";"Roma";
"Pubblici";"Casa del Cinema";"12.4880110000";"Viale della pineta, 15";"160";"41.9107330000";"Roma";
"Pubblici";"Casa del Cinema";"12.4874210000";"Viale della pineta, 15";"161";"41.9106290000";"Roma";
"Pubblici";"Casa del Cinema";"12.4875710000";"Viale della pineta, 15";"162";"41.9112600000";"Roma";
"Pubblici";"Casa del Sociale";"12.4455455000";"via cassia 472";"163";"41.9640684000";"Roma";
"Pubblici";"Casa di Riposo Bruno Buozzi";"12.5852110000";"Via di Torrespaccata, 157";"164";"41.8589190000";"Roma";
"Pubblici";"Casa Famiglia";"12.4627198000";"Piazza Ungheria";"165";"41.6208209000";"Pomezia";
"Pubblici";"Casa Internazionale delle donne - Biblioteca";"12.4660480000";"Via della Lungara, 19";"166";"41.8944841000";"Roma";
"Pubblici";"Casa Internazionale delle donne - Giardino";"12.4654000000";"via della Lungara 19";"167";"41.8953000000";"Roma";
"Privati federati";"Casa Mangiacotti";"12.5329760000";"Via Gentile Da Mogliano 180";"168";"41.8889220000";"Roma";
"Pubblici";"Casali Tor Fiscale";"12.5434417000";"Via Dell'Acquedotto Felice, 120";"169";"41.8615402000";"Roma";
"Pubblici";"Casali Tor Fiscale";"12.5434417000";"Via Dell'Acquedotto Felice, 120";"170";"41.8615402000";"Roma";
"Privati federati";"Casetta Village";"12.3306000000";"Lungomare Amerigo Vespucci 68";"171";"41.7088000000";"Roma";
"Privati federati";"Casetta Village";"12.3196000000";"Lungomare Amerigo Vespucci 68";"172";"41.7133000000";"Roma";
"Privati federati";"Cassia";"12.4338000000";"Via Cassia 964";"173";"41.9716000000";"Roma";
"Pubblici";"Castel Chiodato";"12.6966570000";"Salaria 5";"174";"42.0575470000";"Mentana";
"Pubblici";"Castello";"12.5815080000";"Piazza San Giacomo";"175";"42.1962720000";"Civitella San Paolo";
"Pubblici";"Castello di Santa Severa";"11.9608630000";"Via Del Castello 2";"176";"42.0190700000";"Santa Marinella";
"Pubblici";"Cecchina - Villa del Vescovo";"12.6503661000";"Viale Italia 1";"177";"41.6971535000";"Albano Laziale";
"Pubblici";"Centro  Pianciani";"12.5084850000";"Via Luigi Pianciani 22";"178";"41.8927240000";"Roma";
"Pubblici";"Centro Anziani";"12.5036430000";"Via Tazio Nuvolari, 250";"179";"41.8367640000";"Roma";
"Pubblici";"Centro Anziani";"13.0087440000";"Piazza Mazzini 12";"180";"41.7332450000";"Colleferro";
"Pubblici";"Centro Anziani";"12.4210872000";"Via Innocenzo IV, 6";"181";"41.9104193000";"Roma";
"Pubblici";"Centro Anziani";"13.0875000000";"Via G.Matteotti";"182";"41.6035110000";"Carpineto Romano";
"Pubblici";"Centro anziani";"12.4994000000";"Via Ovidio,85";"183";"41.6712000000";"Pomezia";
"Pubblici";"Centro Anziani 1 maggio";"12.5615000000";"via delle messi d'oro 214";"184";"41.9160000000";"Roma";
"Pubblici";"Centro Anziani Borgo Pio";"12.4621925000";"Borgo Pio, 23";"185";"41.9036660000";"Roma";
"Pubblici";"Centro Anziani Campo Ascolano";"12.4598000000";"Via Po, 43";"186";"41.6852000000";"Pomezia";
"Pubblici";"Centro Anziani Capasso";"12.4253962030";"Via dei Capasso, snc";"187";"41.8830013349";"Roma";
"Pubblici";"Centro anziani Casale Ceribelli";"12.4864997000";"Viale Pico della Mirandola, 36";"188";"41.8467202000";"Roma";
"Pubblici";"Centro anziani Casale Ceribelli";"12.4853543968";"Viale Pico della Mirandola, 36";"189";"41.8466123045";"Roma";
"Pubblici";"Centro Anziani Cinecittà  Est";"12.5943970000";"Largo Salvatore Zappalà , 2";"190";"41.8518920000";"Roma";
"Pubblici";"Centro Anziani Fogaccia";"12.3937397000";"Piazza Cornelia, 86";"191";"41.9061692000";"Roma";
"Pubblici";"Centro Anziani La Romanina";"12.5992489000";"Via Giuseppe Gregoraci, 140";"192";"41.8468581000";"Roma";
"Pubblici";"Centro anziani La Torretta";"12.5570000000";"piazza dei consoli";"193";"41.8630000000";"Roma";
"Pubblici";"Centro Anziani Largo Spartaco";"12.5523610000";"Largo Spartaco, snc";"194";"41.8589780000";"Roma";
"Pubblici";"Centro Anziani Lo Scariolante";"12.3028000000";"Piazza Gregoriopoli, 2";"195";"41.7599690000";"Roma";
"Pubblici";"Centro Anziani Lo Scariolante";"12.3028000000";"Piazza Gregoriopoli, 2";"196";"41.7599690000";"Roma";
"Pubblici";"Centro Anziani Martin Pescatore";"12.4745670000";"Via Signa,9";"197";"41.6293590000";"Pomezia";
"Pubblici";"Centro Anziani Nino Manfredi";"12.5680601000";"Via Emilio Chiovenda, snc";"198";"41.8909157000";"Roma";
"Pubblici";"Centro Anziani Perlasca";"12.4594780000";"Via Sabotino, 7";"199";"41.9179670000";"Roma";
"Pubblici";"Centro anziani Piana Del Sole";"12.3036654000";"Viale di Pescina Gagliarda, snc";"200";"41.8246954000";"Roma";
"Privati federati";"Centro anziani Pullino";"12.4840000000";"Via G. Pullino 97";"201";"41.8641000000";"Roma";
"Pubblici";"Centro Anziani Quarticciolo";"12.5784972000";"Via Locorotondo, 31";"202";"41.8897003000";"Roma";
"Pubblici";"Centro Anziani Serpentara";"12.5168000000";"via pasquariello 26";"203";"41.9626000000";"Roma";
"Pubblici";"Centro Anziani Torvajanica";"12.4667000000";"via Gran Bretagna 42";"204";"41.6194000000";"Pomezia";
"Pubblici";"Centro Anziani Vitinia";"12.4049866000";"Via Gemmano (Vitinia), snc";"205";"41.7930370000";"Roma";
"Pubblici";"Centro anzianiPullino";"12.4844000000";"via pullino 97";"206";"41.8665000000";"Roma";
"Privati federati";"Centro Commerciale Arca";"12.5889460000";"Via Tiberina 73a";"207";"42.1176200000";"Capena";
"Privati federati";"Centro Commerciale Auchan";"12.5326840000";"Via Alberto Pollio 50/60";"208";"41.8990880000";"Roma";
"Privati federati";"Centro Commerciale Auchan";"12.5326840000";"Via Alberto Pollio 50/60";"209";"41.8990880000";"Roma";
"Privati federati";"Centro Commerciale Auchan";"12.5326840000";"Via Alberto Pollio 50/60";"210";"41.8990880000";"Roma";
"Privati federati";"Centro Commerciale Auchan";"12.5326840000";"Via Alberto Pollio 50/60";"211";"41.8990880000";"Roma";
"Pubblici";"Centro Commerciale Cinecittà II";"12.5709705000";"Viale Palmiro Togliatti, 2";"212";"41.8536774000";"Roma";
"Privati federati";"Centro Commerciale Euroma 2";"12.4600840000";"Viale Oceano Pacifico, 83";"213";"41.8208643000";"Roma";
"Privati federati";"Centro Commerciale Euroma 2";"12.4600840000";"Viale Oceano Pacifico, 83";"214";"41.8208643000";"Roma";
"Privati federati";"Centro Commerciale Euroma 2";"12.4600840000";"Viale Oceano Pacifico, 83";"215";"41.8208643000";"Roma";
"Privati federati";"Centro Commerciale Gulliver";"12.3992000000";"Via Della Lucchina 96";"216";"41.9581280000";"Roma";
"Privati federati";"Centro Commerciale Gulliver";"12.3992000000";"Via Della Lucchina 96";"217";"41.9581280000";"Roma";
"Privati federati";"Centro Commerciale Gulliver";"12.3992000000";"Via Della Lucchina 96";"218";"41.9581280000";"Roma";
"Pubblici";"Centro Commerciale I Granai - Brooks";"12.5040127000";"Via Mario Rigamonti, 100";"219";"41.8364380000";"Roma";
"Pubblici";"Centro Commerciale I Granai - Gadget City";"12.5040127000";"Via Mario Rigamonti, 100";"220";"41.8364380000";"Roma";
"Pubblici";"Centro Commerciale I Granai - Punto Informazione";"12.5040127000";"Via Mario Rigamonti, 100";"221";"41.8364380000";"Roma";
"Pubblici";"Centro Commerciale Le Torri";"12.6329000000";"via aspertini 390";"222";"41.8679000000";"Roma";
"Pubblici";"Centro Commerciale Naturale - Bar Halley";"12.4863256000";"Via Fonte Buono, 111";"223";"41.8480771000";"Roma";
"Pubblici";"Centro Commerciale Primavera";"12.5581364000";"Viale della Primavera, 194";"224";"41.8773104000";"Roma";
"Pubblici";"Centro Culturale Casale Caletto";"12.6047278000";"Via del Casale Caletto, snc";"225";"41.9203162000";"Roma";
"Privati federati";"Centro Culturale Lepetit";"12.5862000000";"via roberto lepetit, 86";"226";"41.8885000000";"Roma";
"Pubblici";"Centro di aggregazione M.P.R.";"12.5298790000";"Via Prenestina, 106";"227";"41.8915883000";"Roma";
"Pubblici";"Centro Formazione  Prof.le";"12.4554950000";"Via Cassia, 472";"228";"41.9572560000";"Roma";
"Pubblici";"Centro Islamico culturale D'Italia";"12.4961632000";"Viale della Moschea, 85";"229";"41.9354860000";"Roma";
"Pubblici";"Centro Islamico culturale d'Italia - Piazzale";"12.4961632000";"Viale della Moschea, 85";"230";"41.9354860000";"Roma";
"Pubblici";"Centro Nuove Tecnologie";"12.5694961000";"Piazza di Cinecittà , 11";"231";"41.8531133000";"Roma";
"Pubblici";"Centro Nuove Tecnologie";"12.5700170000";"Piazza di Cinecittà , 11";"232";"41.8532390000";"Roma";
"Pubblici";"Centro per l'Impiego";"12.6883030000";"Piazzale Aldo Moro";"233";"41.8177460000";"Frascati";
"Pubblici";"Centro per l'Impiego";"12.5275600000";"Via Pontina Vecchia, 13";"234";"41.6565520000";"Pomezia";
"Pubblici";"Centro per l'Impiego";"12.8143060000";"Via Empolitana, 237/236";"235";"41.9515550000";"Tivoli";
"Pubblici";"Centro per l'Impiego";"12.0502340000";"Largo di villa olio , 9";"236";"41.9827230000";"Cerveteri";
"Pubblici";"Centro per l'Impiego";"12.5792910000";"Via Rolando Vignali, 14";"237";"41.8560190000";"Roma";
"Pubblici";"Centro per l'Impiego";"12.6130420000";"Largo Venezia, 6";"238";"41.4639080000";"Anzio";
"Pubblici";"Centro per l'Impiego";"13.0105700000";"Via Carpinetana sud, 144";"239";"41.7222860000";"Colleferro";
"Pubblici";"Centro per l'Impiego";"12.8916290000";"Via degli Arcioni, 15";"240";"41.8378810000";"Palestrina";
"Pubblici";"Centro per l'Impiego";"11.8071720000";"Via Lepanto, 13";"241";"42.0909840000";"Civitavecchia";
"Pubblici";"Centro per l'Impiego";"12.7163110000";"Via Roma, 192";"242";"41.9867360000";"Guidonia Montecelio";
"Pubblici";"Centro per l'Impiego";"12.4046040000";"Via Decio Azzolino, 7";"243";"41.9155770000";"Roma";
"Pubblici";"Centro per l'Impiego";"12.6253970000";"Via Jacopo Torriti 7";"244";"41.8674280000";"Roma";
"Pubblici";"Centro per l'Impiego";"12.2258010000";"Via Del Canale 16";"245";"41.7725220000";"Fiumicino";
"Pubblici";"Centro per l'Impiego";"12.2553966000";"Via Domenico Baffigo 145";"246";"41.7390911000";"Roma";
"Pubblici";"Centro polifunzionale per i giovani";"13.4780080000";"Strada Comunale, snc ( Onna )";"247";"42.3295750000";"Roma";
"Pubblici";"Centro polifunzionale per i giovani";"13.4781060000";"Strada Comunale, snc ( Onna )";"248";"42.3279860000";"Roma";
"Pubblici";"Centro servizi per il Lavoro La Cacciarella";"12.5459155000";"Via di Casal Bruciato, 11";"249";"41.9080300000";"Roma";
"Pubblici";"Centro Sociale Anziani";"12.4437216000";"Via Carlo Avolio, snc";"250";"41.7885543000";"Roma";
"Pubblici";"Centro Sociale Anziani";"12.5861488000";"Via Alcide De Gasperi";"251";"42.1673480000";"Fiano Romano";
"Privati federati";"Centro sportivo Ippolife";"12.6399556000";"Via Cannetacci 50";"252";"42.0548498000";"Mentana";
"Privati federati";"Centro Sportivo Roma Flaminio";"12.4659690000";"Lungotevere Flaminio 55";"253";"41.9236670000";"Roma";
"Privati federati";"Centro sportivo Vigor Perconti";"12.5650340000";"Via Grotta Di Gregna 100";"254";"41.9081060000";"Roma";
"Pubblici";"Centro sportivo VisProma Work in Progres";"12.5550668000";"Via dell'Acqua Marcia, 51";"255";"41.9194332000";"Roma";
"Privati federati";"Centro Studi Pallai";"12.3929000000";"via Michelangelo 2";"256";"41.9268000000";"Roma";
"Privati federati";"Centrovini Arcioni";"12.4545810000";"Via Della Giuliana 11";"257";"41.9110380000";"Roma";
"Privati federati";"C'era una volta il caffè";"12.7236057000";"Via Tiburtina 242";"258";"41.9524070000";"Roma";
"Pubblici";"Chiosco del Bramante - caffetteria";"12.4713000000";"Arco della Pace 11";"259";"41.9002000000";"Roma";
"Pubblici";"Chiosco del Bramante - libreria";"12.4713000000";"Via Arco della Pace 5";"260";"41.9001000000";"Roma";
"Privati federati";"Choccolat";"12.6683100000";"Corso del popolo 42";"261";"41.7878100000";"Grottaferrata";
"Privati federati";"Cinema Adriano";"12.4698000000";"Piazza Cavour 22";"262";"41.9061000000";"Roma";
"Privati federati";"Cinema Adriano - foyer";"12.4694000000";"Piazza Cavour 22";"263";"41.9057000000";"Roma";
"Privati federati";"Cinema Adriano - lato via Cicerone";"12.4990000000";"Piazza Cavour 22";"264";"41.9001000000";"Roma";
"Privati federati";"Circolo Acli Ponte Mammolo";"12.5669000000";"via giovanni palombini 14";"265";"41.9284000000";"Roma";
"Privati federati";"Circolo Albatros";"12.2197786000";"Via della Rena, 116";"266";"42.1580981000";"Trevignano Romano";
"Privati federati";"Circolo Asd Tennis e Sport Ostia Antica";"12.3028720000";"Via Pericle Ducati 1";"267";"41.7610850000";"Roma";
"Privati federati";"Circolo Canottieri Aniene";"12.4869570000";"Lungo Tevere Acqua Acetosa, 119";"268";"41.9316940000";"Roma";
"Privati federati";"Circolo Canottieri Aniene";"12.4881100000";"Lungotevere Acqua Acetosa";"269";"41.9362820000";"Roma";
"Pubblici";"Circolo degli Artisti";"12.5262603000";"Via Casilina Vecchia, 442";"270";"41.8860400000";"Roma";
"Privati federati";"circolo ippico Acquasanta";"12.5478000000";"via vallericcia";"271";"41.8487000000";"Roma";
"Privati federati";"Circolo ippico Casale S. Nicola";"12.3579160000";"Via Del Casale Di San Nicola 232";"272";"41.9913450000";"Roma";
"Privati federati";"Circolo MAE";"12.4763774000";"Lungotevere dell'acqua acetosa 42";"273";"41.9354524000";"Roma";
"Privati federati";"Circolo MAE";"12.4763770000";"Lungotevere dell'acqua acetosa 42";"274";"41.9354520000";"Roma";
"Privati federati";"Circolo MAE";"12.4763770000";"Lungotevere dell'acqua acetosa 42";"275";"41.9354520000";"Roma";
"Privati federati";"Circolo MAE";"12.4765460000";"Lungotevere dell'acqua acetosa 42";"276";"41.9354270000";"Roma";
"Privati federati";"Circolo MAE";"12.4765460000";"Lungotevere dell'acqua acetosa 42";"277";"41.9354270000";"Roma";
"Pubblici";"Circolo ricreativo culturale Concetto Marchesi";"12.5614516000";"Via del Frantoio, 9";"278";"41.9132878000";"Roma";
"Pubblici";"Circolo sportivo \Villa flaminia\";"12.4689000000";"via donatello 20";"279";"41.9258000000";"Roma";
"Privati federati";"Circolo sportivo Acem";"12.4784000000";"Viale di Tor di Quinto, 64";"280";"41.9383000000";"Roma";
"Privati federati";"Circolo sportivo All round";"12.4484010000";"Viale Don Pasquino Borghi 96";"281";"41.8072630000";"Roma";
"Privati federati";"Circolo sportivo Aquaniene";"12.4932000000";"Via Della Moschea";"282";"41.9338670000";"Roma";
"Privati federati";"Circolo Sportivo Belle arti";"12.4725720000";"Via Flaminia 158";"283";"41.9196850000";"Roma";
"Privati federati";"Città dell'utopia";"12.4802000000";"via valeriano 7";"284";"41.8542000000";"Roma";
"Pubblici";"Club Le Rughe";"12.3750700000";"Viale Africa 10";"285";"42.0677260000";"Formello";
"Privati federati";"Club nautico l'Approdo";"12.5988585000";"via dei lillà 1";"286";"41.4874910000";"Anzio";
"Privati federati";"Club Residence I cieli di Roma";"12.3948000000";"Via Francesca Bertini, 8";"287";"41.7842000000";"Roma";
"Privati federati";"Club Residence I cieli di Roma";"12.3948000000";"Via Francesca Bertini, 8";"288";"41.7842000000";"Roma";
"Pubblici";"Collina della Pace - Asilo nido Collina Verde";"12.6855950877";"Via Capaci, 36";"289";"41.8641891695";"Roma";
"Pubblici";"Colonna Traiana";"12.4848000000";"via di Sant'Eufemia";"290";"41.8961000000";"Roma";
"Pubblici";"Comando Polizia Municipale";"12.6721983000";"Via San Giovanni Bosco, 2";"291";"41.7873309000";"Grottaferrata";
"Pubblici";"Comando Polizia Municipale";"13.0165050000";"Via Cesare Battisti 6";"292";"42.0418500000";"Arsoli";
"Pubblici";"Comando Polizia Municipale";"12.7063840000";"Piazza Della Repubblica";"293";"41.7622210000";"Rocca di Papa";
"Pubblici";"Comando Polizia Municipale";"12.9335910000";"Viale Pio Xii 105";"294";"41.8174660000";"Cave";
"Pubblici";"Comando Polizia Municipale";"12.9335910000";"Viale Pio Xii 105";"295";"41.8174660000";"Cave";
"Pubblici";"Comando Polizia Municipale";"12.5018960000";"Piazza Indipendenza 26";"296";"41.6696560000";"Pomezia";
"Pubblici";"Comando Polizia Municipale";"12.6107650000";"Via Delle Mura Francesi";"297";"41.7947270000";"Ciampino";
"Pubblici";"Comando Polizia Municipale";"12.4474230000";"Via Dello Stadio 8";"298";"42.1058170000";"Sacrofano";
"Pubblici";"Comitato di Quartiere La Rustica";"12.6087066000";"Via Dameta, 18";"299";"41.9150121000";"Roma";
"Privati federati";"Comitato di quartiere Ostia";"12.3240960000";"Via Federico Bazzini 21";"300";"41.7499700000";"Roma";
"Pubblici";"Comitato di Quartiere Villa Gordiani";"12.5529869595";"Via Pisino, 5";"301";"41.8970067344";"Roma";
"Privati federati";"Complesso Ospedaliero San Giovanni-Addolorata";"12.5028000000";"via dell'Amba Aradam";"302";"41.8865000000";"Roma";
"Pubblici";"Comune";"12.8680860000";"Corso Cavour 17";"303";"41.9751060000";"Castel Madama";
"Privati federati";"Comune di Cineto Romano - Municipio";"12.9637000000";"Via Carlo Todini, 8";"304";"42.0504000000";"Cineto Romano";
"Pubblici";"Conservatorio Santa Cecilia";"12.4785168000";"Via dei Greci, 18";"305";"41.9074465000";"Roma";
"Pubblici";"Conservatorio Santa Cecilia";"12.4785168000";"Via dei Greci, 18";"306";"41.9074465000";"Roma";
"Privati federati";"Consorzio Turistico Mare di Roma";"12.5310880000";"Viale San Lorenzo 58";"307";"41.5720320000";"Ardea";
"Privati federati";"Cooperativa Sociale  Integrata Antica Torre";"12.5265400000";"via dei Cercenii, 15";"308";"41.8498400000";"Roma";
"Pubblici";"Cooperativa Sociale \Progetto 96\";"12.4247817000";"Via degli Adimari, 29";"309";"41.8525994000";"Roma";
"Privati federati";"Cooperativa Sociale Integrata Conto Alla  Rovescia";"12.6245000000";"via Rubellia 4";"310";"41.9388000000";"Roma";
"Privati federati";"Coppedè cafè";"12.5027640000";"Via Tagliamento 30";"311";"41.9198800000";"Roma";
"Pubblici";"Corso Garibaldi";"12.6708210000";"Via Del Parco 2";"312";"41.7209490000";"Ariccia";
"Pubblici";"Corso Garibaldi";"12.6711320000";"Corso Garibaldi 53";"313";"41.7202850000";"Ariccia";
"Pubblici";"Corte D'Appello - Biblioteca";"12.4511190000";"Via Golametto, 12";"314";"41.9159360000";"Roma";
"Pubblici";"Corte D'Appello - Parcheggio";"12.4509310000";"Via Golametto, 12";"315";"41.9159470000";"Roma";
"Pubblici";"Corte D'Appello Piano Rialzato";"12.4507957177";"Via Romeo Romei, snc";"316";"41.9171167426";"Roma";
"Pubblici";"Corte D'Appello Piano Rialzato";"12.4509888368";"Via Romeo Romei, snc";"317";"41.9173881795";"Roma";
"Pubblici";"Corte D'Appello Piano Rialzato";"12.4506347852";"Via Romeo Romei, snc";"318";"41.9172245191";"Roma";
"Pubblici";"Cortile Palazzo Valentini";"12.4830320000";"Piazza Santi Apostoli";"319";"41.8976440000";"Roma";
"Privati federati";"Cose x Casa";"12.2028020000";"Viale Castellammare 106/a";"320";"41.8489480000";"Fiumicino";
"Pubblici";"Cretone";"12.7085230000";"Viale Manzoni";"321";"42.0734330000";"Palombara Sabina";
"Privati federati";"Cup";"12.4577000000";"Via Portuense 292";"322";"41.8646000000";"Roma";
"Privati federati";"Dal fornaio";"12.0663360000";"Largo Domiziano";"323";"41.9548470000";"Ladispoli";
"Pubblici";"Delegazione Cerenova";"12.0543190000";"Via Sergio Angelucci 1";"324";"41.9812990000";"Cerveteri";
"Pubblici";"Diaprtimento Bilancio Provincia  di Roma";"12.4846000000";"via delle tre cannelle 1";"325";"41.8965000000";"Roma";
"Privati federati";"Distretto industriale";"12.4026000000";"via degli olmetti";"326";"42.0518000000";"Formello";
"Privati federati";"DMT Store";"12.6583820000";"Piazza Luigi Sabatini";"327";"41.7313310000";"Albano Laziale";
"Pubblici";"Domus di Palazzo Valentini";"12.4840000000";"Via Quattro Novembre 119";"328";"41.8964000000";"Roma";
"Pubblici";"Ducati Caffè";"12.4764486000";"Largo di Torre Argentina, 1";"329";"41.8957918000";"Roma";
"Privati federati";"Due Emme Bar";"12.4474000000";"Via Monte Noce, 1";"330";"42.1056000000";"Sacrofano";
"Pubblici";"Easy Med 2003 srl";"12.5845560000";"Via Falconara Albanese, 22";"331";"41.8351580000";"Roma";
"Pubblici";"Emmeci Sport";"12.5758000000";"via Pellaro 1";"332";"41.8344000000";"Roma";
"Privati federati";"Empire";"12.3954220000";"Via Degli Aldobrandeschi 115";"333";"41.8774830000";"Roma";
"Privati federati";"Empire";"12.3954220000";"Via Aldobrandeschi 115";"334";"41.8774830000";"Roma";
"Privati federati";"Empire";"12.3954220000";"Via Degli Aldobrandeschi 115";"335";"41.8774830000";"Roma";
"Privati federati";"Enoteca della Provincia di Roma";"12.4840000000";"Via del Foro Traiano 82";"336";"41.8959000000";"Roma";
"Pubblici";"Ente Regionale Parco di Veio";"12.3800610000";"Via Felice Cavallotti, 18";"337";"42.1386200000";"Campagnano di Roma";
"Privati federati";"Equipe Food";"12.4813000000";"Piazza San Claudio, 165";"338";"41.9021000000";"Roma";
"Privati federati";"Euro Bar";"12.8075260000";"Largo Giuseppe Saragat 4";"339";"41.9537950000";"Tivoli";
"Pubblici";"F.I.G.C Associazione Italiana Arbitri";"12.4465000000";"via Gregorio VII 124";"340";"41.8957000000";"Roma";
"Privati federati";"F.lli Ceccarelli Mario e Sergio";"12.4808000000";"Via P. Matteucci 21";"341";"41.8723000000";"Roma";
"Privati federati";"Ferbel SRL";"12.4764540000";"Largo Di Torre Argentina 1";"342";"41.8957920000";"Roma";
"Pubblici";"Fioraio Marco e Daniela";"12.5651750000";"Piazza San Giovanni Bosco, 32";"343";"41.8596080000";"Roma";
"Pubblici";"Fontana di Trevi";"12.4836280000";"Via della Stamperia";"344";"41.9010790000";"Roma";
"Pubblici";"Foro Traiano";"12.4837029000";"via quattro novembre 119";"345";"41.8967767000";"Roma";
"Privati federati";"Francalancia resort";"12.4916860000";"Via Pian Braccone";"346";"42.1124880000";"Castelnuovo di Porto";
